Station              Alpha                Kappa                Threshold            Latitude             Longitude           
Villarrobledo        6.098750005736783    -0.13438197372254934 7.585592             39.3                 -2.6                
Azuquecadehenares  5.609696663197058    -0.06940088669503508 7.8945403            40.6                 -3.3                
Cambrils             10.44760817990941    -0.16862507071012467 9.125156             41.1                 1.1                 
Ibi                  9.823331384900392    -0.25055053372311353 8.606349             38.6                 -0.6                
Calahorra            7.099662377552354    -0.15804652205324476 7.8878636            42.3                 -2.1                
Pinedademar        11.365758382574155   -0.1553556947650745  11.017133            41.6                 2.7                 
Adra                 9.789261559448505    -0.20572998984756752 7.5537553            36.8                 -3.0                
Almansa              8.153723023363554    -0.2168758930217043  7.442045             38.9                 -1.1                
Priegodecordoba    7.216840815685352    -0.058131922225158394 9.991988             37.4                 -4.2                
Montilla             9.378604508618936    -0.07844478600512006 11.023847            37.6                 -4.6                
Sanjavier           7.166636849384068    -0.3465323658716659  3.8212864            37.8                 -0.8                
Lloretdemar        11.148141343284426   -0.18176141218229347 11.068432            41.7                 2.9                 
Benicarlo            13.063565283576583   -0.2785080053566671  8.580702             40.4                 0.4                 
Aestrada            11.894877806208374   -0.09925279139484489 24.165186            42.7                 -8.5                
Santapola           4.908129451254633    -0.3498896398493869  3.5566547            38.2                 -0.6                
Castrillon           9.609373104039776    -0.09590462843276559 16.39946             43.4                 -6.8                
Arrasate             9.22947801668108     -0.08817172612880797 17.573225            43.1                 -2.5                
Calp                 13.765808727818886   -0.2809321353478089  8.504801             38.7                 0.1                 
Zarautz              10.614060297609155   -0.10284862860076638 20.889492            43.3                 -2.2                
Catarroja            8.831550820414199    -0.33958323587967754 6.7077756            39.4                 -0.4                
Onda                 10.862587785211298   -0.2540243643118314  8.772798             40.0                 -0.3                
Vinaros              12.98543469256768    -0.28518360566823375 9.210344             40.5                 0.5                 
