Lattitude        Longitude       
3993746.255      914725.7149     
3994177.5901     923747.7052     
3994618.2633     932770.0952     
3995068.2786     941792.8935     
3995527.6399     950816.1083     
3995996.3516     959839.748      
3996474.4178     968863.821      
3996961.8428     977888.3356     
3997458.6309     986913.3003     
3997964.7868     995938.7232     
3998480.3149     1004964.6129    
3999005.2199     1013990.9775    
3999539.5065     1023017.8254    
4000083.1796     1032045.1649    
4000636.244      1041073.0043    
4001198.7047     1050101.3519    
4001770.5669     1059130.2159    
4002351.8356     1068159.6047    
4002942.5162     1077189.5264    
4003542.6139     1086219.9893    
4004152.1341     1095251.0017    
4004771.0824     1104282.5718    
4005399.4644     1113314.7078    
4006037.2857     1122347.4179    
4006684.5521     1131380.7103    
4007341.2694     1140414.5931    
4008007.4435     1149449.0746    
4008683.0805     1158484.1629    
4009368.1865     1167519.8661    
4013464.0652     -67437.6177     
4012882.1492     -58419.8219     
4012309.6499     -49402.5445     
4011746.5621     -40385.7771     
4011192.8808     -31369.5118     
4010648.601      -22353.7403     
4010113.7177     -13338.4544     
4009588.2263     -4323.646       
4009072.122      4690.6933       
4008565.4        13704.5716      
4008068.056      22717.9971      
4007580.0853     31730.978       
4007101.4837     40743.5227      
4006632.2468     49755.6393      
4006172.3705     58767.3362      
4005721.8505     67778.6215      
4005280.6828     76789.5036      
4004848.8636     85799.9908      
4004426.3888     94810.0913      
4004013.2547     103819.8134     
4003609.4576     112829.1655     
4003214.9939     121838.1558     
4002829.86       130846.7927     
4002454.0525     139855.0845     
4002087.568      148863.0396     
4001730.4032     157870.6662     
4001382.5549     166877.9727     
4001044.02       175884.9675     
4000714.7954     184891.6589     
4000394.8782     193898.0553     
4000084.2655     202904.1651     
3999782.9546     211909.9965     
3999490.9427     220915.5581     
3999208.2271     229920.8582     
3998934.8055     238925.9051     
3998670.6753     247930.7074     
3998415.8341     256935.2732     
3998170.2797     265939.6112     
3997934.0099     274943.7296     
3997707.0224     283947.6369     
3997489.3154     292951.3415     
3997280.8869     301954.8519     
3997081.7349     310958.1763     
3996891.8578     319961.3234     
3996711.2537     328964.3014     
3996539.9211     337967.1188     
3996377.8584     346969.7841     
3996225.0642     355972.3057     
3996081.5372     364974.692      
3995947.276      373976.9515     
3995822.2794     382979.0926     
3995706.5462     391981.1238     
3995600.0756     400983.0535     
3995502.8665     409984.8902     
3995414.918      418986.6422     
3995336.2294     427988.3182     
3995266.7999     436989.9265     
3995206.6289     445991.4755     
3995155.7159     454992.9738     
3995114.0605     463994.4298     
3995081.6622     472995.852      
3995058.5208     481997.2488     
3995044.636      490998.6286     
3995040.0077     500000.0        
3995044.636      509001.3714     
3995058.5208     518002.7512     
3995081.6622     527004.148      
3995114.0605     536005.5702     
3995155.7159     545007.0262     
3995206.6289     554008.5245     
3995266.7999     563010.0735     
3995336.2294     572011.6818     
3995414.918      581013.3578     
3995502.8665     590015.1098     
3995600.0756     599016.9465     
3995706.5462     608018.8762     
3995822.2794     617020.9074     
3995947.276      626023.0485     
3996081.5372     635025.308      
3996225.0642     644027.6943     
3996377.8584     653030.2159     
3996539.9211     662032.8812     
3996711.2537     671035.6986     
3996891.8578     680038.6766     
3997081.7349     689041.8237     
3997280.8869     698045.1481     
3997489.3154     707048.6585     
3997707.0224     716052.3631     
3997934.0099     725056.2704     
3998170.2797     734060.3888     
